Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,Filter6,Filter6Value,Filter7,Filter7Value,Filter8,Filter8Value,Filter9,Filter9Value,Filter10,Filter10Value,Filter11,Filter11Value,Filter12,Filter12Value,Filter13,Filter13Value,Filter14,Filter14Value,Filter15,Filter15Value,Filter16,Filter16Value,Filter17,Filter17Value,Filter18,Filter18Value,Filter19,Filter19Value,Filter20,Filter20Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping,CSCP_Matching
England,,EngMaths49_Grl_Eng_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,geographic_level,breakdown_topic,Sex,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths49_Grl_Est_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_performance_tables_schools_final,engmath_94_percent,,percentage,school_urn,breakdown_topic,Sex,breakdown,Girls,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths49_Grl_LA_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,old_la_code,breakdown_topic,Sex,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths59_Grl_Eng_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,geographic_level,breakdown_topic,Sex,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths59_Grl_Est_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_performance_tables_schools_final,engmath_95_percent,,percentage,school_urn,breakdown_topic,Sex,breakdown,Girls,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths59_Grl_LA_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Girls,Grl,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,old_la_code,breakdown_topic,Sex,sex,Girls,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths49_Tot_Eng_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths49_Tot_Est_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_performance_tables_schools_final,engmath_94_percent,,percentage,school_urn,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths49_Tot_LA_Current_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths49_Tot_Eng_Previous_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths49_Tot_Est_Previous_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,engmath_94_percent,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths49_Tot_LA_Previous_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths49_Tot_Eng_Previous2_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths49_Tot_Est_Previous2_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,engmath_94_percent,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths49_Tot_LA_Previous2_Pct,English and Maths grades 4 to 9,EngMaths49,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_94_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths59_Tot_Eng_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths59_Tot_Est_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_performance_tables_schools_final,engmath_95_percent,,percentage,school_urn,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths59_Tot_LA_Current_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths59_Tot_Eng_Previous_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths59_Tot_Est_Previous_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,engmath_95_percent,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths59_Tot_LA_Previous_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
England,,EngMaths59_Tot_Eng_Previous2_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,EngMaths59_Tot_Est_Previous2_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,engmath_95_percent,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,EngMaths59_Tot_LA_Previous2_Pct,English and Maths grades 5 to 9,EngMaths59,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,engmath_95_percent,,percentage,old_la_code,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,geographic_level,Local authority,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
Establishment,,Pup_Tot_Est_Previous_Num,Pupils,Pup,Total,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,pupil_count,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Pup_Tot_Est_Previous2_Num,Pupils,Pup,Total,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,pupil_count,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,GSSLACode,LA GSS code,,,,,,,LaUrl,,,,la_urls,GSS,string,text,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
LA,,LAMainUrl,LA main Url,,,,,,,LaUrl,,,,la_urls,Cropped URL,string,text,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
LA,,Name,Local authority name,,,,,,,LaUrl,,,,la_urls,Authority Name,string,text,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
England,,Abs_Tot_Eng_Current_Pct,Absence,Abs,Total KS4,Tot,EES,,,PupilAbsence,Absence,Current,Current,new_1_absence_3term_nat_reg_la,sess_overall_percent,,percentage,geographic_level,geographic_level,National,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,Abs_Persistent_Eng_Current_Pct,Absence,Abs,Persistent KS4,Persistent,EES,,,PupilAbsence,Absence,Current,Current,new_1_absence_3term_nat_reg_la,enrolments_pa_10_exact_percent,,percentage,geographic_level,geographic_level,National,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Abs_Tot_Est_Current_Pct,Absence,Abs,Total KS4,Tot,EES,,,PupilAbsence,Absence,Current,Current,new_1a_absence_3term_school,sess_overall_percent,,percentage,school_urn,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Abs_Persistent_Est_Current_Pct,Absence,Abs,Persistent KS4,Persistent,EES,,,PupilAbsence,Absence,Current,Current,new_1a_absence_3term_school,enrolments_pa_10_exact_percent,,percentage,school_urn,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,Abs_Tot_LA_Current_Pct,Absence,Abs,Total KS4,Tot,EES,,,PupilAbsence,Absence,Current,Current,new_1_absence_3term_nat_reg_la,sess_overall_percent,,percentage,old_la_code,geographic_level,Local authority,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,Abs_Persistent_LA_Current_Pct,Absence,Abs,Persistent KS4,Persistent,EES,,,PupilAbsence,Absence,Current,Current,new_1_absence_3term_nat_reg_la,enrolments_pa_10_exact_percent,,percentage,old_la_code,geographic_level,Local authority,time_period,202425,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Enrolments_Tot_Est_Current_Num,Absence,Enrolments,Total KS4,Tot,EES,,,PupilAbsence,Absence,Current,Current,new_1a_absence_3term_school,enrolments,,number,school_urn,time_period,202324,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Abs_Persistent_Est_Current_Num,Absence,Abs,Persistent KS4,Persistent,EES,,,PupilAbsence,Absence,Current,Current,new_1a_absence_3term_school,enrolments_pa_10_exact,,number,school_urn,time_period,202324,education_phase,State-funded secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
