Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,Filter6,Filter6Value,Filter7,Filter7Value,Filter8,Filter8Value,Filter9,Filter9Value,Filter10,Filter10Value,Filter11,Filter11Value,Filter12,Filter12Value,Filter13,Filter13Value,Filter14,Filter14Value,Filter15,Filter15Value,Filter16,Filter16Value,Filter17,Filter17Value,Filter18,Filter18Value,Filter19,Filter19Value,Filter20,Filter20Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping,CSCP_Matching
LA,,Education_Tot_LA_Current_Pct,All Education,Education,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_la_202223,education,,percentage,old_la_code,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,Local authority,data_type,Percentage,institution_group,State-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,Employment_Tot_Eng_Current_Pct,All Employment,Employment,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_nat_202223,all_work,,percentage,geographic_level,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,National,data_type,Percentage,institution_group,Total state-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Employment_Tot_Est_Current_Pct,All Employment,Employment,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_inst_202223,all_work,,percentage,school_urn,breakdown_topic,Total,breakdown,Total,time_period,202223,data_type,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,Employment_Tot_LA_Current_Pct,All Employment,Employment,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_la_202223,all_work,,percentage,old_la_code,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,Local authority,data_type,Percentage,institution_group,State-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,AllDest_Tot_Eng_Current_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_nat_202223,overall,,percentage,geographic_level,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,National,data_type,Percentage,institution_group,Total state-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,AllDest_Tot_Est_Current_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_inst_202223,overall,,percentage,school_urn,breakdown_topic,Total,breakdown,Total,time_period,202223,data_type,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,AllDest_Tot_LA_Current_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Current,Current,new_ees_ks4_la_202223,overall,,percentage,old_la_code,breakdown_topic,Total,breakdown,Total,time_period,202223,geographic_level,Local authority,data_type,Percentage,institution_group,State-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,AllDest_Tot_Eng_Previous2_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous2,Previous2,new_ees_ks4_nat_202223,overall,,percentage,geographic_level,breakdown_topic,Total,breakdown,Total,time_period,202021,geographic_level,National,data_type,Percentage,institution_group,Total state-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,AllDest_Tot_Est_Previous2_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous2,Previous2,new_ks4_dm_ud_202122_inst_rev,overall,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,time_period,202122,data_type,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,AllDest_Tot_LA_Previous2_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous2,Previous2,new_ees_ks4_la_202223,overall,,percentage,old_la_code,breakdown_topic,Total,breakdown,Total,time_period,202021,geographic_level,Local authority,data_type,Percentage,institution_group,State-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
