GSS,Authority Name,TestedUrl,StatusCode
E09000019,London Borough of Islington,https://www.islington.gov.uk,200
E09000020,Royal Borough of Kensington and Chelsea,https://www.rbkc.gov.uk,200
E09000021,Royal Borough of Kingston upon Thames,https://www.kingston.gov.uk,200
E09000022,London Borough of Lambeth,https://www.lambeth.gov.uk,200
E09000023,London Borough of Lewisham,https://www.lewisham.gov.uk,200
E09000024,London Borough of Merton,https://www.merton.gov.uk,200
E09000025,London Borough of Newham,https://www.newham.gov.uk,200
E09000026,London Borough of Redbridge,https://www.redbridge.gov.uk,200
E09000027,London Borough of Richmond upon Thames,https://www.richmond.gov.uk,200
E09000028,London Borough of Southwark,https://www.southwark.gov.uk,200
E09000029,London Borough of Sutton,https://www.sutton.gov.uk,200
E09000030,London Borough of Tower Hamlets,https://www.towerhamlets.gov.uk,200
E09000031,London Borough of Waltham Forest,https://www.walthamforest.gov.uk,202
E09000032,London Borough of Wandsworth,https://www.wandsworth.gov.uk,200
E09000033,City of Westminster,https://www.westminster.gov.uk,200
E10000003,Cambridgeshire County Council,https://www.cambridgeshire.gov.uk,200
E10000007,Derbyshire County Council,https://www.derbyshire.gov.uk,200
E10000008,Devon County Council,https://www.devon.gov.uk,200
E10000011,East Sussex County Council,https://www.eastsussex.gov.uk,200
E10000012,Essex County Council,https://www.essex.gov.uk,200
E10000013,Gloucestershire County Council,https://www.gloucestershire.gov.uk,200
E10000014,Hampshire County Council,https://www.hants.gov.uk,200
E10000015,Hertfordshire County Council,https://www.hertfordshire.gov.uk,200
E10000016,Kent County Council,https://www.kent.gov.uk,200
E10000017,Lancashire County Council,https://www.lancashire.gov.uk,200
E10000018,Leicestershire County Council,https://www.leicestershire.gov.uk,200
E10000019,Lincolnshire County Council,https://www.lincolnshire.gov.uk,200
E10000020,Norfolk County Council,https://www.norfolk.gov.uk,200
E10000023,North Yorkshire Council,https://www.northyorks.gov.uk,200
E10000024,Nottinghamshire County Council,https://www.nottinghamshire.gov.uk,200
E10000025,Oxfordshire County Council,https://www.oxfordshire.gov.uk,200
E10000027,Somerset Council,https://www.somerset.gov.uk,200
E10000028,Staffordshire County Council,https://www.staffordshire.gov.uk,200
E10000029,Suffolk County Council,https://www.suffolk.gov.uk,200
E10000030,Surrey County Council,https://www.surreycc.gov.uk,200
E10000031,Warwickshire County Council,https://www.warwickshire.gov.uk,200
E10000032,West Sussex County Council,https://www.westsussex.gov.uk,200
E10000034,Worcestershire County Council,https://www.worcestershire.gov.uk,200
